Entry,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
0,1,0,0,0,0,0,0,0,0,0
0.0000050,0.515415205475297,0.363634395687397,0.104659788983345,0.0162906098539605,0,0,0,0,0,0
0.0000100,0.251652545806763,0.381219339052737,0.245777437333659,0.0923707686835846,0.0229417912607739,0.00603811786248273,0,0,0,0
0.0000200,0.0935883817594209,0.234336498562585,0.283529114676228,0.200608306044956,0.103477332903428,0.0430599068808164,0.021594320220022,0.0198061389525439,0,0
0.0000500,0.0131478596468763,0.023236894629869,0.0464149605872773,0.0902176954516329,0.119544337049462,0.129475264500215,0.15381354372626,0.350400098044751,0.0737493463636571,0
