Entry,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
0,1,0,0,0,0,0,0,0,0,0
0.000005,0.517017772,0.367588018,0.101333467,0.014060743,0,0,0,0,0,0
0.00001,0.238781449,0.367231702,0.24219634,0.096003008,0.030637498,0.014632714,0.010517288,0,0,0
0.00005,0.006446202,0.021268802,0.056257283,0.100266165,0.126103248,0.126926103,0.15149445,0.357179005,0.054058742,0
0.0001,0,0,0,0.012266323,0.027787679,0.050230144,0.107682799,0.581107657,0.189382271,0.031543128
