Entry,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
0,1,0,0,0,0,0,0,0,0,0
0.000005,0.566584834,0.346742785,0.07954927,0.00712311,0,0,0,0,0,0
0.00001,0.255462225,0.394287358,0.246181269,0.087178066,0.016891081,0,0,0,0,0
0.00002,0.035053864,0.150972725,0.243827608,0.232589457,0.151322432,0.080692243,0.048553399,0.056988271,0,0
0.00003,0.01426545,0.090047368,0.182625717,0.218251926,0.172164261,0.109424217,0.0802471,0.127684304,0.003088647,0.00220101
0.00005,0,0,0.026199271,0.06200223,0.096738885,0.115148356,0.150793231,0.506418169,0.042699858,0
0.0001,0,0,0,0,0.008302032,0.018843751,0.060130532,0.565491556,0.280759393,0.066472735
